sentence1	sentence2	heuristic	gold_label	data	
De motorrijders achter de fietsers zijn getrokken 	De fietsers zijn getrokken 	CONTRADICTION	subsequence	TEST
De hardlopers dichtbij de fotografen zijn gebeten 	De fotografen zijn gebeten 	CONTRADICTION	subsequence	TEST
De hardlopers achter de dochters zijn gebeten 	De dochters zijn gebeten 	CONTRADICTION	subsequence	TEST
De vrouwen naast de jongvolwassenen zijn gebeten 	De jongvolwassenen zijn gebeten 	CONTRADICTION	subsequence	TRAIN
De jongens voor de spelers zijn geslagen 	De spelers zijn geslagen 	CONTRADICTION	subsequence	TEST
De mimespelers achter de jongens zijn gegeven 	De jongens zijn gegeven 	CONTRADICTION	subsequence	TEST
De fietsers naast de boa's zijn gegoten 	De boa's zijn gegoten 	CONTRADICTION	subsequence	TRAIN
De klimmers achter de spelers zijn gescheiden 	De spelers zijn gescheiden 	CONTRADICTION	subsequence	TEST
De fotografen naast de soldaten zijn getrokken 	De soldaten zijn getrokken 	CONTRADICTION	subsequence	TRAIN
De klimmers dichtbij de studenten zijn gegeven 	De studenten zijn gegeven 	CONTRADICTION	subsequence	TEST
De fotografen voor de studenten zijn gesneden 	De studenten zijn gesneden 	CONTRADICTION	subsequence	TEST
De dochters naast de fietsers zijn gegoten 	De fietsers zijn gegoten 	CONTRADICTION	subsequence	TEST
De klimmers achter de hardlopers zijn gescheiden 	De hardlopers zijn gescheiden 	CONTRADICTION	subsequence	TEST
De fietsers naast de studenten zijn gesneden 	De studenten zijn gesneden 	CONTRADICTION	subsequence	TEST
De klimmers dichtbij de fietsers zijn geholpen 	De fietsers zijn geholpen 	CONTRADICTION	subsequence	TRAIN
De jongvolwassenen achter de fotografen zijn gebeten 	De fotografen zijn gebeten 	CONTRADICTION	subsequence	TRAIL
De soldaten achter de klimmers zijn gegeven 	De klimmers zijn gegeven 	CONTRADICTION	subsequence	TEST
De mannen voor de jongens zijn gesneden 	De jongens zijn gesneden 	CONTRADICTION	subsequence	TEST
De motorrijders voor de klimmers zijn gegoten 	De klimmers zijn gegoten 	CONTRADICTION	subsequence	TEST
De boa's naast de jongvolwassenen zijn geholpen 	De jongvolwassenen zijn geholpen 	CONTRADICTION	subsequence	TEST
De vrouwen voor de mannen zijn gesneden 	De mannen zijn gesneden 	CONTRADICTION	subsequence	TEST
De studenten naast de mannen zijn gegeven 	De mannen zijn gegeven 	CONTRADICTION	subsequence	TEST
De dochters naast de jongvolwassenen zijn geholpen 	De jongvolwassenen zijn geholpen 	CONTRADICTION	subsequence	TRAIL
De leerlingen naast de fietsers zijn gesneden 	De fietsers zijn gesneden 	CONTRADICTION	subsequence	TRAIL
De fietsers voor de studenten zijn gesneden 	De studenten zijn gesneden 	CONTRADICTION	subsequence	TEST
De leerlingen dichtbij de fietsers zijn gescheiden 	De fietsers zijn gescheiden 	CONTRADICTION	subsequence	TEST
De jongvolwassenen voor de studenten zijn getrokken 	De studenten zijn getrokken 	CONTRADICTION	subsequence	TEST
De boa's dichtbij de dochters zijn geholpen 	De dochters zijn geholpen 	CONTRADICTION	subsequence	TEST
De motorrijders dichtbij de spelers zijn gesneden 	De spelers zijn gesneden 	CONTRADICTION	subsequence	TEST
De klimmers achter de studenten zijn geholpen 	De studenten zijn geholpen 	CONTRADICTION	subsequence	TEST
De soldaten voor de hardlopers zijn geslagen 	De hardlopers zijn geslagen 	CONTRADICTION	subsequence	TEST
De mimespelers naast de mannen zijn gesneden 	De mannen zijn gesneden 	CONTRADICTION	subsequence	TEST
De vrouwen achter de soldaten zijn geholpen 	De soldaten zijn geholpen 	CONTRADICTION	subsequence	TRAIN
